date,0,1,2,3,4,5,6,7,8,9
2017/4/4,991974.3222,994905.8895,997442.3032,992646.0099,990798.9532,993407.9129,993855.5693,989659.6122,993605.4607,987376.2054
2017/4/5,988923.0249,992417.5438,995062.5205,989937.1482,988561.8218,990750.4475,990987.0492,987069.291,990625.5575,984854.6656
2017/4/6,994351.3224,998064.2447,999789.4287,995587.9672,993651.0159,995702.197,996376.2288,992337.4983,994979.8326,990562.5795
2017/4/7,991866.87,995312.6484,997152.4509,992801.5205,991236.694,993436.3008,994023.8997,990006.1286,992491.5872,988252.3031
2017/4/10,990945.7953,994503.1178,996416.9422,992589.0996,989256.7955,991894.2801,993309.1437,989990.7949,992472.7414,988006.433
2017/4/11,992066.1144,995513.7905,996816.8418,992990.0912,990305.5041,993119.6008,993812.9487,990416.1723,992839.9377,988389.0063
2017/4/12,985883.5122,988124.4093,989159.6541,986984.7395,984621.2675,987388.3294,986413.9071,983149.6527,987268.4549,981352.0596
2017/4/13,983131.6966,985328.4353,986243.2027,983423.2855,980484.4453,981795.869,981969.5729,979952.0764,983889.3382,977754.8913
2017/4/17,991304.4485,992733.8497,994532.7864,990600.852,988393.3811,988356.814,988185.5868,987128.0943,990128.9962,984368.2291
2017/4/18,988437.1866,990542.8123,992275.2357,988681.9601,985539.7268,985702.7654,985652.2896,984620.0814,987253.5814,982684.9111
2017/4/19,991271.7181,992257.7299,995076.6243,990439.1426,988676.4377,987514.4515,987605.5717,986549.1809,988760.6224,985627.0683
2017/4/20,1000458.182,1001118.277,1003012.537,1000468.995,998328.8347,997604.7933,997789.1847,995092.0481,997942.5068,994837.6239
2017/4/21,999460.7157,999846.7021,1000832.472,998907.3548,995800.7348,995397.5836,996249.6982,994164.5705,995741.6931,993536.2148
2017/4/24,1015174.987,1016354.174,1019547.349,1016562.571,1014246.724,1014798.954,1014197.484,1012694.359,1012371.053,1009775.304
2017/4/25,1016078.697,1016352.8,1020128.075,1015850.762,1013887.553,1013654.651,1013719.785,1012886.534,1012806.382,1010100.567
2017/4/26,1018528.14,1019036.751,1022914.031,1020265.942,1016638.55,1017366.303,1018143.438,1016771.812,1015272.305,1012875.087
2017/4/27,1025109.826,1026083.162,1034561.886,1028077.189,1023286.349,1024158.17,1028940.282,1020402.887,1027460.25,1019352.498
2017/4/28,1020114.368,1020794.092,1027501.995,1021949.358,1018702.884,1017943.631,1024167.767,1015283.426,1022431.528,1016010.499
2017/5/1,1020125.723,1022013.288,1026836.943,1022568.321,1017896.261,1017408.799,1023831.021,1015999.769,1023374.073,1016022.419
2017/5/2,1017365.212,1019717.032,1024175.714,1019771.994,1016090.868,1014551.904,1021651.85,1012545.575,1020585.383,1013790.602
2017/5/3,1019837.309,1021773.041,1025368.572,1022018.828,1016102.238,1015834.863,1023091.743,1014852.235,1021724.78,1014919.28
2017/5/4,1034434.464,1037030.393,1041088.494,1037891.541,1029770.592,1032873.311,1038970.537,1027742.28,1034687.535,1029838.544
2017/5/5,1041721.161,1044582.329,1049110.237,1046124.352,1036041.425,1040352.781,1047211.908,1035395.708,1041122.176,1036640.427
2017/5/8,1041825.929,1045845.653,1049065.202,1046411.149,1035095.142,1039932.288,1047954.503,1035751.787,1041077.484,1038282.552
2017/5/9,1036324.565,1040398.37,1043731.064,1040583.106,1029637.305,1033886.954,1042469.243,1031039.517,1035113.826,1032092.132
2017/5/10,1034384.2,1040405.68,1042845.652,1039566.089,1028335.572,1032564.522,1041133.478,1030055.124,1034858.023,1031210.934
2017/5/11,1034077.57,1040113.202,1042916.248,1039435.111,1028196.599,1033162.736,1041486.308,1029940.054,1034828.133,1030808.332
2017/5/12,1030857.851,1036700.637,1038840.801,1036079.52,1024861.949,1030050.484,1038120.832,1026630.433,1031881.389,1027648.876
2017/5/15,1039944.755,1045185.153,1048054.791,1044632.85,1033308.302,1038688.318,1046203.596,1035205.563,1040469.983,1034204.554
2017/5/16,1039583.445,1044759.958,1047980.346,1043665.171,1032571.921,1038155.009,1047241.549,1034477.03,1040178.437,1033905.777
2017/5/17,1025380.36,1033126.94,1032002.202,1031983.315,1020932.162,1024429.448,1034761.554,1017973.132,1029084.49,1020308.89
2017/5/18,1030933.354,1038612.426,1036671.251,1037026.935,1027006.38,1028655.453,1041107.828,1023594.904,1034566.401,1025693.842
2017/5/19,1037206.793,1044279.369,1042234.386,1040512.275,1032249.294,1035118.891,1045844.198,1029407.641,1040106.689,1031976.342
2017/5/22,1043785.515,1051101.64,1048639.708,1047251.233,1038584.243,1042712.784,1052109.656,1036074.235,1046673.474,1038668.898
2017/5/23,1045914.915,1054518.078,1049356.192,1051376.7,1042491.007,1044527.946,1055143.146,1039875.879,1046759.892,1045580.409
2017/5/24,1050563.167,1059322.842,1054065.568,1056145.892,1047051.458,1049211.61,1059841.325,1044597.293,1051764.354,1050384.482
2017/5/25,1053606.428,1062711.474,1057963.285,1059535.423,1050517.323,1051412.07,1063655.403,1049036.088,1053638.549,1053444.124
2017/5/26,1051068.144,1059989.034,1054672.619,1057215.955,1048235.926,1048660.178,1062074.634,1046565.838,1051342.144,1050445.905
2017/5/30,1051589.157,1059825.036,1055589.761,1057363.483,1048711.762,1048442.614,1061508.425,1046271.358,1052363.11,1051073.31
